Id,Nombre,Componentes,Intervalo (en milisegundos),Herramienta de monitoreo,N° de categorías,N° de productos por categoría,N° de usuarios,N° de órdenes por usuario,Perfil,N° max de requests por segundo,Duración de la carga en segundos,Forma (incremento de la carga),N° de escalones (solo si la forma es escalonada),Threads
151,eco_kep_low_db2_1,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
152,eco_kep_low_db2_2,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
153,eco_kep_low_db2_3,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
154,eco_kep_low_db2_4,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
155,eco_kep_low_db2_5,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
156,eco_kep_low_db2_6,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
157,eco_kep_low_db2_7,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
158,eco_kep_low_db2_8,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
159,eco_kep_low_db2_9,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
160,eco_kep_low_db2_10,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
161,eco_kep_low_db2_11,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
162,eco_kep_low_db2_12,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
163,eco_kep_low_db2_13,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
164,eco_kep_low_db2_14,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
165,eco_kep_low_db2_15,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
166,eco_kep_low_db2_16,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
167,eco_kep_low_db2_17,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
168,eco_kep_low_db2_18,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
169,eco_kep_low_db2_19,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
170,eco_kep_low_db2_20,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
171,eco_kep_low_db2_21,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
172,eco_kep_low_db2_22,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
173,eco_kep_low_db2_23,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
174,eco_kep_low_db2_24,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
175,eco_kep_low_db2_25,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
176,eco_kep_low_db2_26,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
177,eco_kep_low_db2_27,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
178,eco_kep_low_db2_28,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
179,eco_kep_low_db2_29,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
180,eco_kep_low_db2_30,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
181,eco_kep_low_db2_31,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
182,eco_kep_low_db2_32,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
183,eco_kep_low_db2_33,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
184,eco_kep_low_db2_34,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
185,eco_kep_low_db2_35,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
186,eco_kep_low_db2_36,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
187,eco_kep_low_db2_37,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
188,eco_kep_low_db2_38,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
189,eco_kep_low_db2_39,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
190,eco_kep_low_db2_40,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
191,eco_kep_low_db2_41,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
192,eco_kep_low_db2_42,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
193,eco_kep_low_db2_43,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
194,eco_kep_low_db2_44,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
195,eco_kep_low_db2_45,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
196,eco_kep_low_db2_46,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
197,eco_kep_low_db2_47,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
198,eco_kep_low_db2_48,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
199,eco_kep_low_db2_49,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
200,eco_kep_low_db2_50,"CPU, RAM, SD, NIC",5000,"EcoFloc, Kepler",10,200,200,10,low,100,120,lineal,,128
